"PAR_CODIGO(PK)","CAN_CODIGO(FK)","PAR_NOMBRE"
"000000","0000","UNDEFINED"
"010101","0101","BELLAVISTA"
"010102","0101","CAÑARIBAMBA"
"010103","0101","EL BATÁN"
"010104","0101","EL SAGRARIO"
"010105","0101","EL VECINO"
"010106","0101","GIL RAMÍREZ DÁVALOS"
"010107","0101","HUAYNACÁPAC"
"010108","0101","MACHÁNGARA"
"010109","0101","MONAY"
"010110","0101","SAN BLAS"
"010111","0101","SAN SEBASTIÁN"
"010112","0101","SUCRE"
"010113","0101","TOTORACOCHA"
"010114","0101","YANUNCAY"
"010115","0101","HERMANO MIGUEL"
"010150","0101","CUENCA"
"010151","0101","BAÑOS"
"010152","0101","CUMBE"
"010153","0101","CHAUCHA"
"010154","0101","CHECA (JIDCAY)"
"010155","0101","CHIQUINTAD"
"010156","0101","LLACAO"
"010157","0101","MOLLETURO"
"010158","0101","NULTI"
"010159","0101","OCTAVIO CORDERO PALACIOS (SANTA ROSA)"
"010160","0101","PACCHA"
"010161","0101","QUINGEO"
"010162","0101","RICAURTE"
"010163","0101","SAN JOAQUÍN"
"010164","0101","SANTA ANA"
"010165","0101","SAYAUSÍ"
"010166","0101","SIDCAY"
"010167","0101","SININCAY"
"010168","0101","TARQUI"
"010169","0101","TURI"
"010170","0101","VALLE"
"010171","0101","VICTORIA DEL PORTETE (IRQUIS)"
"010250","0102","GIRÓN"
"010251","0102","ASUNCIÓN"
"010252","0102","SAN GERARDO"
"010350","0103","GUALACEO"
"010351","0103","CHORDELEG"
"010352","0103","DANIEL CÓRDOVA TORAL (EL ORIENTE)"
"010353","0103","JADÁN"
"010354","0103","MARIANO MORENO"
"010355","0103","PRINCIPAL"
"010356","0103","REMIGIO CRESPO TORAL (GÚLAG)"
"010357","0103","SAN JUAN"
"010358","0103","ZHIDMAD"
"010359","0103","LUIS CORDERO VEGA"
"010360","0103","SIMÓN BOLÍVAR (CAB. EN GAÑANZOL)"
"010450","0104","NABÓN"
"010451","0104","COCHAPATA"
"010452","0104","EL PROGRESO (CAB.EN ZHOTA)"
"010453","0104","LAS NIEVES (CHAYA)"
"010454","0104","OÑA"
"010550","0105","PAUTE"
"010551","0105","AMALUZA"
"010552","0105","BULÁN (JOSÉ VÍCTOR IZQUIERDO)"
"010553","0105","CHICÁN (GUILLERMO ORTEGA)"
"010554","0105","EL CABO"
"010555","0105","GUACHAPALA"
"010556","0105","GUARAINAG"
"010557","0105","PALMAS"
"010558","0105","PAN"
"010559","0105","SAN CRISTÓBAL (CARLOS ORDÓÑEZ LAZO)"
"010560","0105","SEVILLA DE ORO"
"010561","0105","TOMEBAMBA"
"010562","0105","DUG DUG"
"010650","0106","PUCARÁ"
"010651","0106","CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO)"
"010652","0106","SAN RAFAEL DE SHARUG"
"010750","0107","SAN FERNANDO"
"010751","0107","CHUMBLÍN"
"010850","0108","SANTA ISABEL (CHAGUARURCO)"
"010851","0108","ABDÓN CALDERÓN (LA UNIÓN)"
"010852","0108","EL CARMEN DE PIJILÍ"
"010853","0108","ZHAGLLI (SHAGLLI)"
"010854","0108","SAN SALVADOR DE CAÑARIBAMBA"
"010950","0109","SIGSIG"
"010951","0109","CUCHIL (CUTCHIL)"
"010952","0109","GIMA"
"010953","0109","GUEL"
"010954","0109","LUDO"
"010955","0109","SAN BARTOLOMÉ"
"010956","0109","SAN JOSÉ DE RARANGA"
"011050","0110","SAN FELIPE DE OÑA CABECERA CANTONAL"
"011051","0110","SUSUDEL"
"011150","0111","CHORDELEG"
"011151","0111","PRINCIPAL"
"011152","0111","LA UNIÓN"
"011153","0111","LUIS GALARZA ORELLANA (CAB.EN DELEGSOL)"
"011154","0111","SAN MARTÍN DE PUZHIO"
"011250","0112","EL PAN"
"011251","0112","AMALUZA"
"011252","0112","PALMAS"
"011253","0112","SAN VICENTE"
"011350","0113","SEVILLA DE ORO"
"011351","0113","AMALUZA"
"011352","0113","PALMAS"
"011450","0114","GUACHAPALA"
"011550","0115","CAMILO PONCE ENRÍQUEZ"
"011551","0115","EL CARMEN DE PIJILÍ"
"020101","0201","ÁNGEL POLIBIO CHÁVES"
"020102","0201","GABRIEL IGNACIO VEINTIMILLA"
"020103","0201","GUANUJO"
"020150","0201","GUARANDA"
"020151","0201","FACUNDO VELA"
"020152","0201","GUANUJO"
"020153","0201","JULIO E. MORENO (CATANAHUÁN GRANDE)"
"020154","0201","LAS NAVES"
"020155","0201","SALINAS"
"020156","0201","SAN LORENZO"
"020157","0201","SAN SIMÓN (YACOTO)"
"020158","0201","SANTA FÉ (SANTA FÉ)"
"020159","0201","SIMIÁTUG"
"020160","0201","SAN LUIS DE PAMBIL"
"020250","0202","CHILLANES"
"020251","0202","SAN JOSÉ DEL TAMBO (TAMBOPAMBA)"
"020350","0203","SAN JOSÉ DE CHIMBO"
"020351","0203","ASUNCIÓN (ASANCOTO)"
"020352","0203","CALUMA"
"020353","0203","MAGDALENA (CHAPACOTO)"
"020354","0203","SAN SEBASTIÁN"
"020355","0203","TELIMBELA"
"020450","0204","ECHEANDÍA"
"020550","0205","SAN MIGUEL"
"020551","0205","BALSAPAMBA"
"020552","0205","BILOVÁN"
"020553","0205","RÉGULO DE MORA"
"020554","0205","SAN PABLO (SAN PABLO DE ATENAS)"
"020555","0205","SANTIAGO"
"020556","0205","SAN VICENTE"
"020650","0206","CALUMA"
"020701","0207","LAS MERCEDES"
"020702","0207","LAS NAVES"
"020750","0207","LAS NAVES"
"030101","0301","AURELIO BAYAS MARTÍNEZ"
"030102","0301","AZOGUES"
"030103","0301","BORRERO"
"030104","0301","SAN FRANCISCO"
"030150","0301","AZOGUES"
"030151","0301","COJITAMBO"
"030152","0301","DÉLEG"
"030153","0301","GUAPÁN"
"030154","0301","JAVIER LOYOLA (CHUQUIPATA)"
"030155","0301","LUIS CORDERO"
"030156","0301","PINDILIG"
"030157","0301","RIVERA"
"030158","0301","SAN MIGUEL"
"030159","0301","SOLANO"
"030160","0301","TADAY"
"030250","0302","BIBLIÁN"
"030251","0302","NAZÓN (CAB. EN PAMPA DE DOMÍNGUEZ)"
"030252","0302","SAN FRANCISCO DE SAGEO"
"030253","0302","TURUPAMBA"
"030254","0302","JERUSALÉN"
"030350","0303","CAÑAR"
"030351","0303","CHONTAMARCA"
"030352","0303","CHOROCOPTE"
"030353","0303","GENERAL MORALES (SOCARTE)"
"030354","0303","GUALLETURO"
"030355","0303","HONORATO VÁSQUEZ (TAMBO VIEJO)"
"030356","0303","INGAPIRCA"
"030357","0303","JUNCAL"
"030358","0303","SAN ANTONIO"
"030359","0303","SUSCAL"
"030360","0303","TAMBO"
"030361","0303","ZHUD"
"030362","0303","VENTURA"
"030363","0303","DUCUR"
"030450","0304","LA TRONCAL"
"030451","0304","MANUEL J. CALLE"
"030452","0304","PANCHO NEGRO"
"030550","0305","EL TAMBO"
"030650","0306","DÉLEG"
"030651","0306","SOLANO"
"030750","0307","SUSCAL"
"040101","0401","GONZÁLEZ SUÁREZ"
"040102","0401","TULCÁN"
"040150","0401","TULCÁN"
"040151","0401","EL CARMELO (EL PUN)"
"040152","0401","HUACA"
"040153","0401","JULIO ANDRADE (OREJUELA)"
"040154","0401","MALDONADO"
"040155","0401","PIOTER"
"040156","0401","TOBAR DONOSO (LA BOCANA DE CAMUMBÍ)"
"040157","0401","TUFIÑO"
"040158","0401","URBINA (TAYA)"
"040159","0401","EL CHICAL"
"040160","0401","MARISCAL SUCRE"
"040161","0401","SANTA MARTHA DE CUBA"
"040250","0402","BOLÍVAR"
"040251","0402","GARCÍA MORENO"
"040252","0402","LOS ANDES"
"040253","0402","MONTE OLIVO"
"040254","0402","SAN VICENTE DE PUSIR"
"040255","0402","SAN RAFAEL"
"040301","0403","EL ÁNGEL"
"040302","0403","27 DE SEPTIEMBRE"
"040350","0403","EL ANGEL"
"040351","0403","EL GOALTAL"
"040352","0403","LA LIBERTAD (ALIZO)"
"040353","0403","SAN ISIDRO"
"040450","0404","MIRA (CHONTAHUASI)"
"040451","0404","CONCEPCIÓN"
"040452","0404","JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO)"
"040453","0404","JUAN MONTALVO (SAN IGNACIO DE QUIL)"
"040501","0405","GONZÁLEZ SUÁREZ"
"040502","0405","SAN JOSÉ"
"040550","0405","SAN GABRIEL"
"040551","0405","CRISTÓBAL COLÓN"
"040552","0405","CHITÁN DE NAVARRETE"
"040553","0405","FERNÁNDEZ SALVADOR"
"040554","0405","LA PAZ"
"040555","0405","PIARTAL"
"040650","0406","HUACA"
"040651","0406","MARISCAL SUCRE"
"050101","0501","ELOY ALFARO (SAN FELIPE)"
"050102","0501","IGNACIO FLORES (PARQUE FLORES)"
"050103","0501","JUAN MONTALVO (SAN SEBASTIÁN)"
"050104","0501","LA MATRIZ"
"050105","0501","SAN BUENAVENTURA"
"050150","0501","LATACUNGA"
"050151","0501","ALAQUES (ALÁQUEZ)"
"050152","0501","BELISARIO QUEVEDO (GUANAILÍN)"
"050153","0501","GUAITACAMA (GUAYTACAMA)"
"050154","0501","JOSEGUANGO BAJO"
"050155","0501","LAS PAMPAS"
"050156","0501","MULALÓ"
"050157","0501","11 DE NOVIEMBRE (ILINCHISI)"
"050158","0501","POALÓ"
"050159","0501","SAN JUAN DE PASTOCALLE"
"050160","0501","SIGCHOS"
"050161","0501","TANICUCHÍ"
"050162","0501","TOACASO"
"050163","0501","PALO QUEMADO"
"050201","0502","EL CARMEN"
"050202","0502","LA MANÁ"
"050203","0502","EL TRIUNFO"
"050250","0502","LA MANÁ"
"050251","0502","GUASAGANDA (CAB.EN GUASAGANDA"
"050252","0502","PUCAYACU"
"050350","0503","EL CORAZÓN"
"050351","0503","MORASPUNGO"
"050352","0503","PINLLOPATA"
"050353","0503","RAMÓN CAMPAÑA"
"050450","0504","PUJILÍ"
"050451","0504","ANGAMARCA"
"050452","0504","CHUCCHILÁN (CHUGCHILÁN)"
"050453","0504","GUANGAJE"
"050454","0504","ISINLIBÍ (ISINLIVÍ)"
"050455","0504","LA VICTORIA"
"050456","0504","PILALÓ"
"050457","0504","TINGO"
"050458","0504","ZUMBAHUA"
"050550","0505","SAN MIGUEL"
"050551","0505","ANTONIO JOSÉ HOLGUÍN (SANTA LUCÍA)"
"050552","0505","CUSUBAMBA"
"050553","0505","MULALILLO"
"050554","0505","MULLIQUINDIL (SANTA ANA)"
"050555","0505","PANSALEO"
"050650","0506","SAQUISILÍ"
"050651","0506","CANCHAGUA"
"050652","0506","CHANTILÍN"
"050653","0506","COCHAPAMBA"
"050750","0507","SIGCHOS"
"050751","0507","CHUGCHILLÁN"
"050752","0507","ISINLIVÍ"
"050753","0507","LAS PAMPAS"
"050754","0507","PALO QUEMADO"
"060101","0601","LIZARZABURU"
"060102","0601","MALDONADO"
"060103","0601","VELASCO"
"060104","0601","VELOZ"
"060105","0601","YARUQUÍES"
"060150","0601","RIOBAMBA"
"060151","0601","CACHA (CAB. EN MACHÁNGARA)"
"060152","0601","CALPI"
"060153","0601","CUBIJÍES"
"060154","0601","FLORES"
"060155","0601","LICÁN"
"060156","0601","LICTO"
"060157","0601","PUNGALÁ"
"060158","0601","PUNÍN"
"060159","0601","QUIMIAG"
"060160","0601","SAN JUAN"
"060161","0601","SAN LUIS"
"060250","0602","ALAUSÍ"
"060251","0602","ACHUPALLAS"
"060252","0602","CUMANDÁ"
"060253","0602","GUASUNTOS"
"060254","0602","HUIGRA"
"060255","0602","MULTITUD"
"060256","0602","PISTISHÍ (NARIZ DEL DIABLO)"
"060257","0602","PUMALLACTA"
"060258","0602","SEVILLA"
"060259","0602","SIBAMBE"
"060260","0602","TIXÁN"
"060301","0603","CAJABAMBA"
"060302","0603","SICALPA"
"060350","0603","VILLA LA UNIÓN (CAJABAMBA)"
"060351","0603","CAÑI"
"060352","0603","COLUMBE"
"060353","0603","JUAN DE VELASCO (PANGOR)"
"060354","0603","SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO)"
"060450","0604","CHAMBO"
"060550","0605","CHUNCHI"
"060551","0605","CAPZOL"
"060552","0605","COMPUD"
"060553","0605","GONZOL"
"060554","0605","LLAGOS"
"060650","0606","GUAMOTE"
"060651","0606","CEBADAS"
"060652","0606","PALMIRA"
"060701","0607","EL ROSARIO"
"060702","0607","LA MATRIZ"
"060750","0607","GUANO"
"060751","0607","GUANANDO"
"060752","0607","ILAPO"
"060753","0607","LA PROVIDENCIA"
"060754","0607","SAN ANDRÉS"
"060755","0607","SAN GERARDO DE PACAICAGUÁN"
"060756","0607","SAN ISIDRO DE PATULÚ"
"060757","0607","SAN JOSÉ DEL CHAZO"
"060758","0607","SANTA FÉ DE GALÁN"
"060759","0607","VALPARAÍSO"
"060850","0608","PALLATANGA"
"060950","0609","PENIPE"
"060951","0609","EL ALTAR"
"060952","0609","MATUS"
"060953","0609","PUELA"
"060954","0609","SAN ANTONIO DE BAYUSHIG"
"060955","0609","LA CANDELARIA"
"060956","0609","BILBAO (CAB.EN QUILLUYACU)"
"061050","0610","CUMANDÁ"
"070101","0701","LA PROVIDENCIA"
"070102","0701","MACHALA"
"070103","0701","PUERTO BOLÍVAR"
"070104","0701","NUEVE DE MAYO"
"070105","0701","EL CAMBIO"
"070150","0701","MACHALA"
"070151","0701","EL CAMBIO"
"070152","0701","EL RETIRO"
"070250","0702","ARENILLAS"
"070251","0702","CHACRAS"
"070252","0702","LA LIBERTAD"
"070253","0702","LAS LAJAS (CAB. EN LA VICTORIA)"
"070254","0702","PALMALES"
"070255","0702","CARCABÓN"
"070350","0703","PACCHA"
"070351","0703","AYAPAMBA"
"070352","0703","CORDONCILLO"
"070353","0703","MILAGRO"
"070354","0703","SAN JOSÉ"
"070355","0703","SAN JUAN DE CERRO AZUL"
"070450","0704","BALSAS"
"070451","0704","BELLAMARÍA"
"070550","0705","CHILLA"
"070650","0706","EL GUABO"
"070651","0706","BARBONES (SUCRE)"
"070652","0706","LA IBERIA"
"070653","0706","TENDALES (CAB.EN PUERTO TENDALES)"
"070654","0706","RÍO BONITO"
"070701","0707","ECUADOR"
"070702","0707","EL PARAÍSO"
"070703","0707","HUALTACO"
"070704","0707","MILTON REYES"
"070705","0707","UNIÓN LOJANA"
"070750","0707","HUAQUILLAS"
"070850","0708","MARCABELÍ"
"070851","0708","EL INGENIO"
"070901","0709","BOLÍVAR"
"070902","0709","LOMA DE FRANCO"
"070903","0709","OCHOA LEÓN (MATRIZ)"
"070904","0709","TRES CERRITOS"
"070950","0709","PASAJE"
"070951","0709","BUENAVISTA"
"070952","0709","CASACAY"
"070953","0709","LA PEAÑA"
"070954","0709","PROGRESO"
"070955","0709","UZHCURRUMI"
"070956","0709","CAÑAQUEMADA"
"071001","0710","LA MATRIZ"
"071002","0710","LA SUSAYA"
"071003","0710","PIÑAS GRANDE"
"071050","0710","PIÑAS"
"071051","0710","CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)"
"071052","0710","LA BOCANA"
"071053","0710","MOROMORO (CAB. EN EL VADO)"
"071054","0710","PIEDRAS"
"071055","0710","SAN ROQUE (AMBROSIO MALDONADO)"
"071056","0710","SARACAY"
"071150","0711","PORTOVELO"
"071151","0711","CURTINCAPA"
"071152","0711","MORALES"
"071153","0711","SALATÍ"
"071201","0712","SANTA ROSA"
"071202","0712","PUERTO JELÍ"
"071203","0712","BALNEARIO JAMBELÍ (SATÉLITE)"
"071204","0712","JUMÓN (SATÉLITE)"
"071205","0712","NUEVO SANTA ROSA"
"071250","0712","SANTA ROSA"
"071251","0712","BELLAVISTA"
"071252","0712","JAMBELÍ"
"071253","0712","LA AVANZADA"
"071254","0712","SAN ANTONIO"
"071255","0712","TORATA"
"071256","0712","VICTORIA"
"071257","0712","BELLAMARÍA"
"071350","0713","ZARUMA"
"071351","0713","ABAÑÍN"
"071352","0713","ARCAPAMBA"
"071353","0713","GUANAZÁN"
"071354","0713","GUIZHAGUIÑA"
"071355","0713","HUERTAS"
"071356","0713","MALVAS"
"071357","0713","MULUNCAY GRANDE"
"071358","0713","SINSAO"
"071359","0713","SALVIAS"
"071401","0714","LA VICTORIA"
"071402","0714","PLATANILLOS"
"071403","0714","VALLE HERMOSO"
"071450","0714","LA VICTORIA"
"071451","0714","LA LIBERTAD"
"071452","0714","EL PARAÍSO"
"071453","0714","SAN ISIDRO"
"080101","0801","BARTOLOMÉ RUIZ (CÉSAR FRANCO CARRIÓN)"
"080102","0801","5 DE AGOSTO"
"080103","0801","ESMERALDAS"
"080104","0801","LUIS TELLO (LAS PALMAS)"
"080105","0801","SIMÓN PLATA TORRES"
"080150","0801","ESMERALDAS"
"080151","0801","ATACAMES"
"080152","0801","CAMARONES (CAB. EN SAN VICENTE)"
"080153","0801","CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE)"
"080154","0801","CHINCA"
"080155","0801","CHONTADURO"
"080156","0801","CHUMUNDÉ"
"080157","0801","LAGARTO"
"080158","0801","LA UNIÓN"
"080159","0801","MAJUA"
"080160","0801","MONTALVO (CAB. EN HORQUETA)"
"080161","0801","RÍO VERDE"
"080162","0801","ROCAFUERTE"
"080163","0801","SAN MATEO"
"080164","0801","SÚA (CAB. EN LA BOCANA)"
"080165","0801","TABIAZO"
"080166","0801","TACHINA"
"080167","0801","TONCHIGÜE"
"080168","0801","VUELTA LARGA"
"080250","0802","VALDEZ (LIMONES)"
"080251","0802","ANCHAYACU"
"080252","0802","ATAHUALPA (CAB. EN CAMARONES)"
"080253","0802","BORBÓN"
"080254","0802","LA TOLA"
"080255","0802","LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)"
"080256","0802","MALDONADO"
"080257","0802","PAMPANAL DE BOLÍVAR"
"080258","0802","SAN FRANCISCO DE ONZOLE"
"080259","0802","SANTO DOMINGO DE ONZOLE"
"080260","0802","SELVA ALEGRE"
"080261","0802","TELEMBÍ"
"080262","0802","COLÓN ELOY DEL MARÍA"
"080263","0802","SAN JOSÉ DE CAYAPAS"
"080264","0802","TIMBIRÉ"
"080350","0803","MUISNE"
"080351","0803","BOLÍVAR"
"080352","0803","DAULE"
"080353","0803","GALERA"
"080354","0803","QUINGUE (OLMEDO PERDOMO FRANCO)"
"080355","0803","SALIMA"
"080356","0803","SAN FRANCISCO"
"080357","0803","SAN GREGORIO"
"080358","0803","SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA)"
"080450","0804","ROSA ZÁRATE (QUININDÉ)"
"080451","0804","CUBE"
"080452","0804","CHURA (CHANCAMA) (CAB. EN EL YERBERO)"
"080453","0804","MALIMPIA"
"080454","0804","VICHE"
"080455","0804","LA UNIÓN"
"080550","0805","SAN LORENZO"
"080551","0805","ALTO TAMBO (CAB. EN GUADUAL)"
