"PRO_CODIGO(pk)","PAI_CODIGO(fk)","PRO_NOMBRE"
"00",0,"UNDEFINED"
"01",239,"AZUAY"
"02",239,"BOLIVAR"
"03",239,"CAÑAR"
"04",239,"CARCHI"
"05",239,"COTOPAXI"
"06",239,"CHIMBORAZO"
"07",239,"EL ORO"
"08",239,"ESMERALDAS"
"09",239,"GUAYAS"
"10",239,"IMBABURA"
"11",239,"LOJA"
"12",239,"LOS RIOS"
"13",239,"MANABI"
"14",239,"MORONA SANTIAGO"
"15",239,"NAPO"
"16",239,"PASTAZA"
"17",239,"PICHINCHA"
"18",239,"TUNGURAHUA"
"19",239,"ZAMORA CHINCHIPE"
"20",239,"GALAPAGOS"
"21",239,"SUCUMBIOS"
"22",239,"ORELLANA"
"23",239,"SANTO DOMINGO DE LOS TSACHILAS"
"24",239,"SANTA ELENA"
"90",239,"ZONAS NO DELIMITADAS"
